title,artist_x,artist_y,hit,collab
Chained,The xx,,0.0,0.0
Chains,Soulfly,Soulfly,0.0,0.0
Chalk Outline,Three Days Grace,,0.0,0.0
Champion,Nicki Minaj,Nicki Minaj,0.0,0.0
Champion,The Chevin,The Chevin,0.0,0.0
Champions,O.A.R. and B.o.B,O.A.R. and B.o.B,0.0,0.0
Champions,Kevin Rudolf,Kevin Rudolf,0.0,0.0
Change,Churchill,Churchill,0.0,0.0
Change My Mind,Billy Ray Cyrus,Billy Ray Cyrus,0.0,0.0
Change Nothing,Jessica Sanchez,,0.0,0.0
Change Of Heart Pt.2,The Vaccines,,0.0,0.0
Change The Record,Melanie Fiona,,0.0,0.0
Change Your Life,Little Mix,,0.0,0.0
Changed,Rascal Flatts,Rascal Flatts,1.0,0.0
Charge,Sway,,0.0,0.0
Charlie Ain't Home,ZZ Ward,,0.0,0.0
Charmer,Aimee Mann,,0.0,0.0
Chartreuse,ZZ Top,,0.0,0.0
Chasin' Paper,Curren$y,,0.0,0.0
Chasing The Sun,The Wanted,The Wanted,1.0,0.0
Cheerleader,OMI,OMI,1.0,0.0
Cherry Pie,Edens Edge,,0.0,0.0
Cherry Wine,Nas,,0.0,0.0
Chi-Town,The Cribs,,0.0,0.0
Chickens In The Pen,Kid Rock,,0.0,0.0
China Town,Van Halen,,0.0,0.0
Chokehold,Adam Lambert,,0.0,0.0
Choosing Sides,Field Music,,0.0,0.0
Christ Alone,Edens Edge,,0.0,0.0
Christmas Comin' Round Again,Scotty McCreery,,0.0,0.0
Christmas In Heaven,Scotty McCreery,,0.0,0.0
Christmas In The Sand,Colbie Caillat,,0.0,0.0
Chum,Earl Sweatshirt,,0.0,0.0
Cigarettes & Truckstops,Lindi Ortega,,0.0,0.0
Circle In The Square,Flobots,,0.0,0.0
Circles,Nelly Furtado,Nelly Furtado,1.0,0.0
Circles,Christina Aguilera,Christina Aguilera,1.0,0.0
Circles,Passenger,Passenger,1.0,0.0
Circles Around the Sun,Dispatch,,0.0,0.0
Clarity,Zedd,Zedd Featuring Foxes,1.0,1.0
Clean Slate,M. Ward,,0.0,0.0
Cleaning Out My Closet,Angel Haze,,0.0,0.0
Climax,Usher,Usher,1.0,0.0
Climb on Board,Labrinth,,0.0,0.0
Clique,Kanye West,"Kanye West, Jay-Z, Big Sean",1.0,1.0
Clockwork Angels,Rush,,0.0,0.0
Close Enemies,Example,,0.0,0.0
Close To You,Neon Trees,,0.0,0.0
Closer,Tegan and Sara,Tegan and Sara,1.0,0.0
Closer,Aerosmith,Aerosmith,1.0,0.0
Clouds,Newton Faulkner,Newton Faulkner,0.0,0.0
Clouds,Zach Sobiech,Zach Sobiech,0.0,0.0
Clown,Emeli Sandé,,0.0,0.0
Cocaine and Gin,Kid Rock,,0.0,0.0
Cola,Lana Del Rey,,0.0,0.0
Cold,Kanye West,Kanye West,0.0,0.0
Cold Beer Country,Toby Keith,,0.0,0.0
Cold Shoulder,Josh Turner,,0.0,0.0
Colorado,Lukas Nelson and Promise of the Real,,0.0,0.0
Come Alive,Leona Lewis,,0.0,0.0
Come Along,Vicci Martinez,,0.0,0.0
Come Healing,Leonard Cohen,,0.0,0.0
Come Into My Head,Kimbra,,0.0,0.0
Come On A Cone,Nicki Minaj,,0.0,0.0
Come On Be A No-One,The Cribs,,0.0,0.0
Come Over,Kenny Chesney,Kenny Chesney,1.0,0.0
Come Taste The Rainbow,Example,,0.0,0.0
Come Wake Me Up,Rascal Flatts,Rascal Flatts,1.0,0.0
Come With Me Now,Kongos,Kongos,0.0,0.0
Comeback Kid,Sleigh Bells,,0.0,0.0
Coming to America,K'NAAN,,0.0,0.0
Common Man,Black Country Communion,,0.0,0.0
Compton,Kendrick Lamar,,0.0,0.0
Confessor,Black Country Communion,,0.0,0.0
Constant Conversations,Passion Pit,,0.0,0.0
Constantine's Dream,Patti Smith,,0.0,0.0
Constellations,Enter Shikari,,0.0,0.0
Control,Garbage,,0.0,0.0
Coral Blue,Converge,,0.0,0.0
Corn Star,Craig Morgan,,0.0,0.0
Coronation,Damon Albarn,,0.0,0.0
Cough Cough,Everything Everything,,0.0,0.0
Count Me Out,PUSHERJONES,,0.0,0.0
Counterfeit,Tulisa,,0.0,0.0
Country Boys Like Me,Craig Morgan,,0.0,0.0
Country Song,Jake Bugg,,0.0,0.0
Courage,Peter Gabriel,,0.0,0.0
Courtesy Call,Thousand Foot Krutch,,0.0,0.0
Cowboys and Angels,Dustin Lynch,,0.0,0.0
CPU,Big Boi,,0.0,0.0
Crack Rock,Frank Ocean,,0.0,0.0
Cracks in Mr. Perfect,Ne-Yo,,0.0,0.0
Crash,SafetySuit,,0.0,0.0
Crawl,Black Country Communion,,0.0,0.0
Crawl After You,M. Ward,,0.0,0.0
Craziest Things,Cheryl Cole,,0.0,0.0
Crazy Kids,Kesha,Kesha,0.0,0.0
Crazy One More Time,Kip Moore,,0.0,0.0
Crazy To Love You,Leonard Cohen,,0.0,0.0
Crazy World,Boys Like Girls,,0.0,0.0
Crazytown,Aimee Mann,,0.0,0.0
Crucifix,Demon Hunter,,0.0,0.0
Cruise,Florida Georgia Line,Florida Georgia Line Featuring Nelly,1.0,1.0
Cruising California (Bumpin' in My Trunk),The Offspring,,0.0,0.0
Crush,Sleigh Bells,,0.0,0.0
Cry Freedom,Black Country Communion,,0.0,0.0
Cry Like a Ghost,Passion Pit,,0.0,0.0
Crying on a Suitcase,Casey James,,0.0,0.0
Crying Out For Help,Example,,0.0,0.0
Crystallize,Lindsey Stirling,,0.0,0.0
Cucci Galore,Kid Rock,,0.0,0.0
Cuckoo,Adam Lambert,,0.0,0.0
Cupid's Got a Shotgun,Carrie Underwood,,0.0,0.0
Cups,Anna Kendrick,,0.0,0.0
Curiosity,Carly Rae Jepsen,,0.0,0.0
Cut Copy Me,Petula Clark,,0.0,0.0
Cut Me Some Slack,"Paul McCartney, Dave Grohl, Krist Novoselic & Pat Smear",,0.0,0.0
Cuz I Play Guitar,Big & Rich,,0.0,0.0
Damaged Goods,Yeasayer,,0.0,0.0
Damn Good Friends,Elle Varner,,0.0,0.0
Dance Again,Jennifer Lopez,Jennifer Lopez Featuring Pitbull,1.0,1.0
Dance All Night,Dirty Heads,,0.0,0.0
Dance Baby Dance,Chris Cagle,,0.0,0.0
Dance For You,Beyoncé,Beyoncé,0.0,0.0
Dandelion,Black Country Communion,,0.0,0.0
Danger,Katy B,,0.0,0.0
Danse Caribe,Andrew Bird,,0.0,0.0
Dark Money,Geoff Tate,,0.0,0.0
Dark Paradise,Lana Del Rey,,0.0,0.0
Darkness,Leonard Cohen,Leonard Cohen,0.0,0.0
Darkness,Attika 7,Attika 7,0.0,0.0
Daughters,Nas,,0.0,0.0
Dauðalogn,Sigur Rós,,0.0,0.0
Day 4,Bloc Party,,0.0,0.0
Day Will Come,Keane,,0.0,0.0
Daylight,Maroon 5,Maroon 5,1.0,0.0
Days Go By,The Offspring,,0.0,0.0
Dead Flowers,Demon Hunter,,0.0,0.0
Dead in the Water,Ellie Goulding,,0.0,0.0
Dead Sea,The Lumineers,,0.0,0.0
Dead Set on Living,Cancer Bats,,0.0,0.0
Dead Silence,Billy Talent,,0.0,0.0
Deadlines And Commitments,The Killers,,0.0,0.0
Dear Darlin',Olly Murs,,0.0,0.0
Dear Old America,Heart,,0.0,0.0
